;id_trestného činu ;rok;pocet
2;T11TC;2007;10036
3;T11TC;2007;8428
4;T11TC;2007;594240
5;T11TC;2007;
6;T11TC;2007;989742
7;T11TC;2007;
8;T11TC;2007;134685
9;T11TC;2007;75857
10;T11TC;2007;7557
11;T11TC;2007;357391
12;T11TC;2007;445271
13;T11TC;2007;50375
14;T11TC;2007;435824
15;T11TC;2007;3696459
16;T11TC;2007;60519
17;T11TC;2007;6284661
18;T11TC;2007;423442
19;T11TC;2007;426914
20;T11TC;2007;13038
21;T11TC;2007;
22;T11TC;2007;2933146
24;T11TC;2007;
25;T11TC;2007;73741
26;T11TC;2007;
27;T11TC;2007;15005
28;T11TC;2007;
29;T11TC;2007;
30;T11TC;2007;1303835
31;T11TC;2007;313310
32;T11TC;2007;1152993
33;T11TC;2007;400222
34;T11TC;2007;
35;T11TC;2007;3582541
36;T11TC;2007;170596
37;T11TC;2007;110802
38;T11TC;2007;88197
39;T11TC;2007;902058
40;T11TC;2007;1306324
41;T11TC;2007;
43;T11TC;2007;
44;T11TC;2007;401293
;;;
2;T11TC;2008;13651
3;T11TC;2008;9271
4;T11TC;2008;572695
5;T11TC;2008;
6;T11TC;2008;991064
7;T11TC;2008;
8;T11TC;2008;126673
9;T11TC;2008;74571
10;T11TC;2008;7328
11;T11TC;2008;343799
12;T11TC;2008;476953
13;T11TC;2008;50977
14;T11TC;2008;440711
15;T11TC;2008;3664245
16;T11TC;2008;44644
17;T11TC;2008;6114128
18;T11TC;2008;420059
19;T11TC;2008;408407
20;T11TC;2008;14578
21;T11TC;2008;
22;T11TC;2008;2709888
24;T11TC;2008;
25;T11TC;2008;78060
26;T11TC;2008;
27;T11TC;2008;13803
28;T11TC;2008;
29;T11TC;2008;
30;T11TC;2008;1277775
31;T11TC;2008;304168
32;T11TC;2008;1082057
33;T11TC;2008;431918
34;T11TC;2008;
35;T11TC;2008;3209862
36;T11TC;2008;173196
37;T11TC;2008;104759
38;T11TC;2008;81917
39;T11TC;2008;941144
40;T11TC;2008;1377854
41;T11TC;2008;
43;T11TC;2008;
44;T11TC;2008;384424
2;T11TC;2009;13100
3;T11TC;2009;14339
4;T11TC;2009;591597
5;T11TC;2009;
6;T11TC;2009;1008327
7;T11TC;2009;
8;T11TC;2009;138105
9;T11TC;2009;73497
10;T11TC;2009;7094
11;T11TC;2009;332829
12;T11TC;2009;491792
13;T11TC;2009;48359
14;T11TC;2009;441416
15;T11TC;2009;3633095
16;T11TC;2009;35949
17;T11TC;2009;6054330
18;T11TC;2009;386893
19;T11TC;2009;394034
20;T11TC;2009;15966
21;T11TC;2009;
22;T11TC;2009;2629831
24;T11TC;2009;
25;T11TC;2009;83203
26;T11TC;2009;
27;T11TC;2009;11953
28;T11TC;2009;
29;T11TC;2009;
30;T11TC;2009;1254480
31;T11TC;2009;314477
32;T11TC;2009;1129577
33;T11TC;2009;427687
34;T11TC;2009;
35;T11TC;2009;2994820
36;T11TC;2009;168091
37;T11TC;2009;104905
38;T11TC;2009;87463
39;T11TC;2009;896561
40;T11TC;2009;1405626
41;T11TC;2009;676309
43;T11TC;2009;
44;T11TC;2009;434678
2;T11TC;2010;15249
3;T11TC;2010;15477
4;T11TC;2010;535745
5;T11TC;2010;
6;T11TC;2010;1010122
7;T11TC;2010;
8;T11TC;2010;147025
9;T11TC;2010;73328
10;T11TC;2010;8387
11;T11TC;2010;313387
12;T11TC;2010;471088
13;T11TC;2010;48340
14;T11TC;2010;431623
15;T11TC;2010;3559930
16;T11TC;2010;34739
17;T11TC;2010;5933278
18;T11TC;2010;333988
19;T11TC;2010;447186
20;T11TC;2010;14911
21;T11TC;2010;
22;T11TC;2010;2621019
24;T11TC;2010;
25;T11TC;2010;77669
26;T11TC;2010;
27;T11TC;2010;13296
28;T11TC;2010;
29;T11TC;2010;
30;T11TC;2010;1194030
31;T11TC;2010;305014
32;T11TC;2010;1151157
33;T11TC;2010;424150
34;T11TC;2010;
35;T11TC;2010;2628799
36;T11TC;2010;163534
37;T11TC;2010;95252
38;T11TC;2010;89489
39;T11TC;2010;871143
40;T11TC;2010;1370399
41;T11TC;2010;656858
43;T11TC;2010;
44;T11TC;2010;500902
2;T11TC;2011;17646
3;T11TC;2011;16572
4;T11TC;2011;540007
5;T11TC;2011;
6;T11TC;2011;1041625
7;T11TC;2011;
8;T11TC;2011;128602
9;T11TC;2011;75620
10;T11TC;2011;8426
11;T11TC;2011;317177
12;T11TC;2011;466765
13;T11TC;2011;42567
14;T11TC;2011;458251
15;T11TC;2011;3549714
16;T11TC;2011;32261
17;T11TC;2011;5990679
18;T11TC;2011;194031
19;T11TC;2011;451371
20;T11TC;2011;12639
21;T11TC;2011;
22;T11TC;2011;
24;T11TC;2011;
25;T11TC;2011;79523
26;T11TC;2011;
27;T11TC;2011;14244
28;T11TC;2011;
29;T11TC;2011;
30;T11TC;2011;1194055
31;T11TC;2011;295172
32;T11TC;2011;1159268
33;T11TC;2011;415193
34;T11TC;2011;
35;T11TC;2011;2404807
36;T11TC;2011;164355
37;T11TC;2011;92873
38;T11TC;2011;88722
39;T11TC;2011;1117293
40;T11TC;2011;1416280
41;T11TC;2011;692954
43;T11TC;2011;
44;T11TC;2011;515833
2;T11TT;2007;
3;T11TT;2007;408
4;T11TT;2007;34767
5;T11TT;2007;
6;T11TT;2007;
7;T11TT;2007;
8;T11TT;2007;18788
9;T11TT;2007;2538
10;T11TT;2007;180355
11;T11TT;2007;10079
12;T11TT;2007;
13;T11TT;2007;5122
14;T11TT;2007;64975
15;T11TT;2007;
16;T11TT;2007;2747
17;T11TT;2007;
18;T11TT;2007;180609
19;T11TT;2007;23006
20;T11TT;2007;
21;T11TT;2007;63513
22;T11TT;2007;1706
24;T11TT;2007;
25;T11TT;2007;3441
26;T11TT;2007;
27;T11TT;2007;
28;T11TT;2007;
29;T11TT;2007;
30;T11TT;2007;168965
31;T11TT;2007;46903
32;T11TT;2007;168359
33;T11TT;2007;45746
34;T11TT;2007;
35;T11TT;2007;233809
36;T11TT;2007;20072
37;T11TT;2007;2888
38;T11TT;2007;
39;T11TT;2007;20365
40;T11TT;2007;80243
41;T11TT;2007;
43;T11TT;2007;
44;T11TT;2007;21489
2;T11TT;2008;467
3;T11TT;2008;374
4;T11TT;2008;34377
5;T11TT;2008;
6;T11TT;2008;
7;T11TT;2008;
8;T11TT;2008;19383
9;T11TT;2008;2358
10;T11TT;2008;229535
11;T11TT;2008;10657
12;T11TT;2008;
13;T11TT;2008;4353
14;T11TT;2008;60667
15;T11TT;2008;
16;T11TT;2008;3072
17;T11TT;2008;
18;T11TT;2008;156972
19;T11TT;2008;19450
20;T11TT;2008;
21;T11TT;2008;63690
22;T11TT;2008;1509
24;T11TT;2008;
25;T11TT;2008;2449
26;T11TT;2008;
27;T11TT;2008;
28;T11TT;2008;
29;T11TT;2008;
30;T11TT;2008;163680
31;T11TT;2008;45081
32;T11TT;2008;167984
33;T11TT;2008;43231
34;T11TT;2008;
35;T11TT;2008;218322
36;T11TT;2008;18867
37;T11TT;2008;2900
38;T11TT;2008;
39;T11TT;2008;44208
40;T11TT;2008;82380
41;T11TT;2008;
43;T11TT;2008;
44;T11TT;2008;18387
2;T11TT;2009;520
3;T11TT;2009;791
4;T11TT;2009;33677
5;T11TT;2009;
6;T11TT;2009;
7;T11TT;2009;
8;T11TT;2009;19997
9;T11TT;2009;2186
10;T11TT;2009;183985
11;T11TT;2009;8809
12;T11TT;2009;
13;T11TT;2009;3242
14;T11TT;2009;56192
15;T11TT;2009;
16;T11TT;2009;2453
17;T11TT;2009;
18;T11TT;2009;133914
19;T11TT;2009;17664
20;T11TT;2009;
21;T11TT;2009;52213
22;T11TT;2009;1314
24;T11TT;2009;
25;T11TT;2009;1698
26;T11TT;2009;
27;T11TT;2009;
28;T11TT;2009;
29;T11TT;2009;
30;T11TT;2009;156175
31;T11TT;2009;41688
32;T11TT;2009;168148
33;T11TT;2009;41272
34;T11TT;2009;
35;T11TT;2009;203618
36;T11TT;2009;21795
37;T11TT;2009;2292
38;T11TT;2009;
39;T11TT;2009;52171
40;T11TT;2009;77612
41;T11TT;2009;
43;T11TT;2009;
44;T11TT;2009;14927
2;T11TT;2010;961
3;T11TT;2010;883
4;T11TT;2010;34358
5;T11TT;2010;
6;T11TT;2010;
7;T11TT;2010;
8;T11TT;2010;17135
9;T11TT;2010;1809
10;T11TT;2010;217325
11;T11TT;2010;6717
12;T11TT;2010;
13;T11TT;2010;3454
14;T11TT;2010;52923
15;T11TT;2010;
16;T11TT;2010;2607
17;T11TT;2010;
18;T11TT;2010;92955
19;T11TT;2010;16447
20;T11TT;2010;
21;T11TT;2010;47341
22;T11TT;2010;1327
24;T11TT;2010;
25;T11TT;2010;1543
26;T11TT;2010;
27;T11TT;2010;
28;T11TT;2010;
29;T11TT;2010;
30;T11TT;2010;154110
31;T11TT;2010;40593
32;T11TT;2010;156744
33;T11TT;2010;43278
34;T11TT;2010;
35;T11TT;2010;199431
36;T11TT;2010;20178
37;T11TT;2010;1991
38;T11TT;2010;
39;T11TT;2010;48491
40;T11TT;2010;77149
41;T11TT;2010;
43;T11TT;2010;
44;T11TT;2010;12902
2;T11TT;2011;1933
3;T11TT;2011;953
4;T11TT;2011;35581
5;T11TT;2011;
6;T11TT;2011;
7;T11TT;2011;
8;T11TT;2011;15081
9;T11TT;2011;1751
10;T11TT;2011;246085
11;T11TT;2011;6695
12;T11TT;2011;
13;T11TT;2011;3813
14;T11TT;2011;53575
15;T11TT;2011;
16;T11TT;2011;2752
17;T11TT;2011;
18;T11TT;2011;4398
19;T11TT;2011;14001
20;T11TT;2011;
21;T11TT;2011;
22;T11TT;2011;
24;T11TT;2011;
25;T11TT;2011;1407
26;T11TT;2011;
27;T11TT;2011;
28;T11TT;2011;
29;T11TT;2011;
30;T11TT;2011;151990
31;T11TT;2011;37351
32;T11TT;2011;164551
33;T11TT;2011;42454
34;T11TT;2011;
35;T11TT;2011;199868
36;T11TT;2011;20976
37;T11TT;2011;1829
38;T11TT;2011;
39;T11TT;2011;67374
40;T11TT;2011;77431
41;T11TT;2011;
43;T11TT;2011;
44;T11TT;2011;13831
2;T11HO;2007;362
3;T11HO;2007;99
4;T11HO;2007;124
5;T11HO;2007;
6;T11HO;2007;912
7;T11HO;2007;
8;T11HO;2007;252
9;T11HO;2007;225
10;T11HO;2007;22
11;T11HO;2007;196
12;T11HO;2007;242
13;T11HO;2007;110
14;T11HO;2007;534
15;T11HO;2007;2261
16;T11HO;2007;741
17;T11HO;2007;2471
18;T11HO;2007;236
19;T11HO;2007;296
20;T11HO;2007;5
21;T11HO;2007;78
22;T11HO;2007;2294
24;T11HO;2007;
25;T11HO;2007;280
26;T11HO;2007;
27;T11HO;2007;10
28;T11HO;2007;
29;T11HO;2007;
30;T11HO;2007;1600
31;T11HO;2007;106
32;T11HO;2007;1059
33;T11HO;2007;
34;T11HO;2007;
35;T11HO;2007;2222
36;T11HO;2007;605
37;T11HO;2007;89
38;T11HO;2007;47
39;T11HO;2007;1015
40;T11HO;2007;
41;T11HO;2007;
43;T11HO;2007;1542
44;T11HO;2007;2906
2;T11HO;2008;328
3;T11HO;2008;108
4;T11HO;2008;118
5;T11HO;2008;
6;T11HO;2008;884
7;T11HO;2008;
8;T11HO;2008;232
9;T11HO;2008;216
10;T11HO;2008;22
11;T11HO;2008;201
12;T11HO;2008;254
13;T11HO;2008;104
14;T11HO;2008;523
15;T11HO;2008;2308
16;T11HO;2008;653
17;T11HO;2008;2371
18;T11HO;2008;250
19;T11HO;2008;292
20;T11HO;2008;3
21;T11HO;2008;50
22;T11HO;2008;2303
24;T11HO;2008;
25;T11HO;2008;301
26;T11HO;2008;
27;T11HO;2008;11
28;T11HO;2008;
29;T11HO;2008;
30;T11HO;2008;1650
31;T11HO;2008;127
32;T11HO;2008;973
33;T11HO;2008;
34;T11HO;2008;
35;T11HO;2008;2000
36;T11HO;2008;606
37;T11HO;2008;94
38;T11HO;2008;30
39;T11HO;2008;1045
40;T11HO;2008;
41;T11HO;2008;
43;T11HO;2008;1379
44;T11HO;2008;2707
2;T11HO;2009;313
3;T11HO;2009;97
4;T11HO;2009;153
5;T11HO;2009;
6;T11HO;2009;931
7;T11HO;2009;
8;T11HO;2009;219
9;T11HO;2009;206
10;T11HO;2009;38
11;T11HO;2009;180
12;T11HO;2009;270
13;T11HO;2009;95
14;T11HO;2009;504
15;T11HO;2009;1991
16;T11HO;2009;494
17;T11HO;2009;2370
18;T11HO;2009;252
19;T11HO;2009;275
20;T11HO;2009;5
21;T11HO;2009;56
22;T11HO;2009;1995
24;T11HO;2009;
25;T11HO;2009;259
26;T11HO;2009;
27;T11HO;2009;10
28;T11HO;2009;
29;T11HO;2009;
30;T11HO;2009;3195
31;T11HO;2009;108
32;T11HO;2009;972
33;T11HO;2009;
34;T11HO;2009;
35;T11HO;2009;1768
36;T11HO;2009;612
37;T11HO;2009;84
38;T11HO;2009;52
39;T11HO;2009;955
40;T11HO;2009;
41;T11HO;2009;236
43;T11HO;2009;
44;T11HO;2009;2478
;;;
2;T11HO;2010;334
3;T11HO;2010;68
4;T11HO;2010;173
5;T11HO;2010;
6;T11HO;2010;943
7;T11HO;2010;
8;T11HO;2010;211
9;T11HO;2010;188
10;T11HO;2010;18
11;T11HO;2010;173
12;T11HO;2010;205
13;T11HO;2010;84
14;T11HO;2010;442
15;T11HO;2010;2093
16;T11HO;2010;418
17;T11HO;2010;2316
18;T11HO;2010;250
19;T11HO;2010;276
20;T11HO;2010;6
21;T11HO;2010;53
22;T11HO;2010;1888
24;T11HO;2010;
25;T11HO;2010;217
26;T11HO;2010;
27;T11HO;2010;8
28;T11HO;2010;
29;T11HO;2010;
30;T11HO;2010;3980
31;T11HO;2010;107
32;T11HO;2010;893
33;T11HO;2010;
34;T11HO;2010;
35;T11HO;2010;1556
36;T11HO;2010;585
37;T11HO;2010;89
38;T11HO;2010;41
39;T11HO;2010;908
40;T11HO;2010;
41;T11HO;2010;242
43;T11HO;2010;1563
44;T11HO;2010;2356
;;;
2;T11HO;2011;338
3;T11HO;2011;89
4;T11HO;2011;185
5;T11HO;2011;
6;T11HO;2011;1058
7;T11HO;2011;
8;T11HO;2011;189
9;T11HO;2011;179
10;T11HO;2011;21
11;T11HO;2011;172
12;T11HO;2011;203
13;T11HO;2011;100
14;T11HO;2011;440
15;T11HO;2011;2288
16;T11HO;2011;399
17;T11HO;2011;2249
18;T11HO;2011;219
19;T11HO;2011;275
20;T11HO;2011;6
21;T11HO;2011;42
22;T11HO;2011;
24;T11HO;2011;
25;T11HO;2011;212
26;T11HO;2011;
27;T11HO;2011;9
28;T11HO;2011;
29;T11HO;2011;
30;T11HO;2011;4105
31;T11HO;2011;179
32;T11HO;2011;833
33;T11HO;2011;
34;T11HO;2011;
35;T11HO;2011;1430
36;T11HO;2011;559
37;T11HO;2011;96
38;T11HO;2011;51
39;T11HO;2011;1210
40;T11HO;2011;
41;T11HO;2011;230
43;T11HO;2011;1484
44;T11HO;2011;2506
;;;
2;THOFA;2007;
3;THOFA;2007;
4;THOFA;2007;16
5;THOFA;2007;
6;THOFA;2007;81
7;THOFA;2007;
8;THOFA;2007;
9;THOFA;2007;61
10;THOFA;2007;
11;THOFA;2007;
12;THOFA;2007;
13;THOFA;2007;
14;THOFA;2007;
15;THOFA;2007;
16;THOFA;2007;
17;THOFA;2007;164
18;THOFA;2007;
19;THOFA;2007;21
20;THOFA;2007;
21;THOFA;2007;18
22;THOFA;2007;
24;THOFA;2007;
25;THOFA;2007;8
26;THOFA;2007;
27;THOFA;2007;6
28;THOFA;2007;
29;THOFA;2007;
30;THOFA;2007;
31;THOFA;2007;
32;THOFA;2007;54
33;THOFA;2007;
34;THOFA;2007;
35;THOFA;2007;
36;THOFA;2007;130
37;THOFA;2007;18
38;THOFA;2007;
39;THOFA;2007;165
40;THOFA;2007;
41;THOFA;2007;
43;THOFA;2007;
44;THOFA;2007;
;;;
2;THOFA;2008;
3;THOFA;2008;
4;THOFA;2008;9
5;THOFA;2008;
6;THOFA;2008;58
7;THOFA;2008;
8;THOFA;2008;
9;THOFA;2008;54
10;THOFA;2008;
11;THOFA;2008;
12;THOFA;2008;
13;THOFA;2008;
14;THOFA;2008;
15;THOFA;2008;
16;THOFA;2008;
17;THOFA;2008;162
18;THOFA;2008;
19;THOFA;2008;16
20;THOFA;2008;
21;THOFA;2008;21
22;THOFA;2008;
24;THOFA;2008;
25;THOFA;2008;7
26;THOFA;2008;
27;THOFA;2008;6
28;THOFA;2008;
29;THOFA;2008;
30;THOFA;2008;
31;THOFA;2008;
32;THOFA;2008;32
33;THOFA;2008;
34;THOFA;2008;
35;THOFA;2008;
36;THOFA;2008;130
37;THOFA;2008;18
38;THOFA;2008;
39;THOFA;2008;201
40;THOFA;2008;
41;THOFA;2008;
43;THOFA;2008;
44;THOFA;2008;
;;;
2;THOFA;2009;
3;THOFA;2009;
4;THOFA;2009;16
5;THOFA;2009;
6;THOFA;2009;67
7;THOFA;2009;
8;THOFA;2009;
9;THOFA;2009;50
10;THOFA;2009;
11;THOFA;2009;
12;THOFA;2009;
13;THOFA;2009;
14;THOFA;2009;
15;THOFA;2009;
16;THOFA;2009;
17;THOFA;2009;175
18;THOFA;2009;
19;THOFA;2009;12
20;THOFA;2009;
21;THOFA;2009;24
22;THOFA;2009;
24;THOFA;2009;
25;THOFA;2009;7
26;THOFA;2009;
27;THOFA;2009;4
28;THOFA;2009;
29;THOFA;2009;
30;THOFA;2009;
31;THOFA;2009;
32;THOFA;2009;35
33;THOFA;2009;
34;THOFA;2009;
35;THOFA;2009;
36;THOFA;2009;119
37;THOFA;2009;16
38;THOFA;2009;
39;THOFA;2009;189
40;THOFA;2009;
41;THOFA;2009;
43;THOFA;2009;
44;THOFA;2009;
;;;
2;THOFA;2010;
3;THOFA;2010;
4;THOFA;2010;20
5;THOFA;2010;
6;THOFA;2010;107
7;THOFA;2010;
8;THOFA;2010;
9;THOFA;2010;50
10;THOFA;2010;4
11;THOFA;2010;
12;THOFA;2010;
13;THOFA;2010;
14;THOFA;2010;
15;THOFA;2010;
16;THOFA;2010;
17;THOFA;2010;145
18;THOFA;2010;
19;THOFA;2010;28
20;THOFA;2010;
21;THOFA;2010;22
22;THOFA;2010;
24;THOFA;2010;
25;THOFA;2010;9
26;THOFA;2010;
27;THOFA;2010;2
28;THOFA;2010;
29;THOFA;2010;
30;THOFA;2010;
31;THOFA;2010;
32;THOFA;2010;30
33;THOFA;2010;
34;THOFA;2010;
35;THOFA;2010;
36;THOFA;2010;86
37;THOFA;2010;17
38;THOFA;2010;
39;THOFA;2010;138
40;THOFA;2010;
41;THOFA;2010;
43;THOFA;2010;
44;THOFA;2010;
;;;
2;THOFA;2011;
3;THOFA;2011;
4;THOFA;2011;21
5;THOFA;2011;
6;THOFA;2011;95
7;THOFA;2011;
8;THOFA;2011;
9;THOFA;2011;43
10;THOFA;2011;6
11;THOFA;2011;
12;THOFA;2011;
13;THOFA;2011;
14;THOFA;2011;
15;THOFA;2011;
16;THOFA;2011;
17;THOFA;2011;132
18;THOFA;2011;
19;THOFA;2011;19
20;THOFA;2011;
21;THOFA;2011;14
22;THOFA;2011;
24;THOFA;2011;
25;THOFA;2011;1
26;THOFA;2011;
27;THOFA;2011;1
28;THOFA;2011;
29;THOFA;2011;
30;THOFA;2011;
31;THOFA;2011;
32;THOFA;2011;20
33;THOFA;2011;
34;THOFA;2011;
35;THOFA;2011;
36;THOFA;2011;64
37;THOFA;2011;14
38;THOFA;2011;
39;THOFA;2011;172
40;THOFA;2011;
41;THOFA;2011;
43;THOFA;2011;
44;THOFA;2011;
;;;
2;T11AS;2007;181
3;T11AS;2007;521
4;T11AS;2007;39302
5;T11AS;2007;
6;T11AS;2007;74285
7;T11AS;2007;
8;T11AS;2007;3014
9;T11AS;2007;1923
10;T11AS;2007;142
11;T11AS;2007;6175
12;T11AS;2007;13770
13;T11AS;2007;4806
14;T11AS;2007;34634
15;T11AS;2007;225322
16;T11AS;2007;157
17;T11AS;2007;527861
18;T11AS;2007;20501
19;T11AS;2007;11454
20;T11AS;2007;345
21;T11AS;2007;15199
22;T11AS;2007;63602
24;T11AS;2007;
25;T11AS;2007;4138
26;T11AS;2007;
27;T11AS;2007;1254
28;T11AS;2007;
29;T11AS;2007;
30;T11AS;2007;71570
31;T11AS;2007;15887
32;T11AS;2007;55903
33;T11AS;2007;56585
34;T11AS;2007;
35;T11AS;2007;47348
36;T11AS;2007;6605
37;T11AS;2007;2971
38;T11AS;2007;2482
39;T11AS;2007;16105
40;T11AS;2007;82262
41;T11AS;2007;
43;T11AS;2007;
44;T11AS;2007;17035
;;;
2;T11AS;2008;891
3;T11AS;2008;505
4;T11AS;2008;40477
5;T11AS;2008;
6;T11AS;2008;76288
7;T11AS;2008;
8;T11AS;2008;1770
9;T11AS;2008;2043
10;T11AS;2008;167
11;T11AS;2008;5397
12;T11AS;2008;13170
13;T11AS;2008;5391
14;T11AS;2008;34803
15;T11AS;2008;239993
16;T11AS;2008;200
17;T11AS;2008;523066
18;T11AS;2008;20257
19;T11AS;2008;13048
20;T11AS;2008;332
21;T11AS;2008;16223
22;T11AS;2008;65791
24;T11AS;2008;
25;T11AS;2008;3917
26;T11AS;2008;
27;T11AS;2008;196
28;T11AS;2008;
29;T11AS;2008;
30;T11AS;2008;69005
31;T11AS;2008;15536
32;T11AS;2008;53913
33;T11AS;2008;60043
34;T11AS;2008;
35;T11AS;2008;45436
36;T11AS;2008;7057
37;T11AS;2008;2704
38;T11AS;2008;2135
39;T11AS;2008;15974
40;T11AS;2008;84566
41;T11AS;2008;
43;T11AS;2008;12336
44;T11AS;2008;15906
;;;
2;T11AS;2009;1060
3;T11AS;2009;1436
4;T11AS;2009;41262
5;T11AS;2009;
6;T11AS;2009;77624
7;T11AS;2009;
8;T11AS;2009;1694
9;T11AS;2009;1947
10;T11AS;2009;219
11;T11AS;2009;4756
12;T11AS;2009;12546
13;T11AS;2009;4687
14;T11AS;2009;32895
15;T11AS;2009;247712
16;T11AS;2009;134
17;T11AS;2009;523687
18;T11AS;2009;20024
19;T11AS;2009;12828
20;T11AS;2009;335
21;T11AS;2009;15516
22;T11AS;2009;65611
24;T11AS;2009;
25;T11AS;2009;3532
26;T11AS;2009;
27;T11AS;2009;173
28;T11AS;2009;
29;T11AS;2009;
30;T11AS;2009;65690
31;T11AS;2009;14687
32;T11AS;2009;53221
33;T11AS;2009;62063
34;T11AS;2009;
35;T11AS;2009;43112
36;T11AS;2009;7172
37;T11AS;2009;2622
38;T11AS;2009;2177
39;T11AS;2009;15367
40;T11AS;2009;86281
41;T11AS;2009;10311
43;T11AS;2009;
44;T11AS;2009;14536
;;;
2;T11AS;2010;1350
3;T11AS;2010;1353
4;T11AS;2010;38256
5;T11AS;2010;
6;T11AS;2010;77598
7;T11AS;2010;
8;T11AS;2010;1678
9;T11AS;2010;1811
10;T11AS;2010;173
11;T11AS;2010;4786
12;T11AS;2010;12662
13;T11AS;2010;4484
14;T11AS;2010;33082
15;T11AS;2010;249096
16;T11AS;2010;126
17;T11AS;2010;520859
18;T11AS;2010;19851
19;T11AS;2010;14607
20;T11AS;2010;257
21;T11AS;2010;14812
22;T11AS;2010;64866
24;T11AS;2010;
25;T11AS;2010;3487
26;T11AS;2010;
27;T11AS;2010;180
28;T11AS;2010;
29;T11AS;2010;
30;T11AS;2010;60295
31;T11AS;2010;14326
32;T11AS;2010;51135
33;T11AS;2010;62387
34;T11AS;2010;
35;T11AS;2010;39745
36;T11AS;2010;7136
37;T11AS;2010;2428
38;T11AS;2010;2182
39;T11AS;2010;15073
40;T11AS;2010;87854
41;T11AS;2010;9825
43;T11AS;2010;26610
44;T11AS;2010;13473
;;;
2;T11AS;2011;1456
3;T11AS;2011;1359
4;T11AS;2011;40385
5;T11AS;2011;
6;T11AS;2011;78420
7;T11AS;2011;
8;T11AS;2011;1463
9;T11AS;2011;1646
10;T11AS;2011;164
11;T11AS;2011;5264
12;T11AS;2011;12443
13;T11AS;2011;4959
14;T11AS;2011;40171
15;T11AS;2011;249333
16;T11AS;2011;94
17;T11AS;2011;518226
18;T11AS;2011;15754
19;T11AS;2011;14241
20;T11AS;2011;271
21;T11AS;2011;14489
22;T11AS;2011;
24;T11AS;2011;
25;T11AS;2011;4107
26;T11AS;2011;
27;T11AS;2011;181
28;T11AS;2011;
29;T11AS;2011;
30;T11AS;2011;59390
31;T11AS;2011;14582
32;T11AS;2011;52505
33;T11AS;2011;59567
34;T11AS;2011;
35;T11AS;2011;38512
36;T11AS;2011;6720
37;T11AS;2011;2231
